,dandelion,dandelion-productive,gdhack,gdhack-productive,cr7,cr7-productive
WSSS_F_Imm10424040,859,230,288,181,27,11
WSSS_F_Imm10424041,146,54,63,29,2,1
WSSS_F_Imm10424042,278,119,201,100,89,33
WSSS_F_Imm10424043,157,4,6,4,7,1
WSSS_F_Imm10424044,4373,77,203,74,33,8
WSSS_F_Imm10424045,2734,163,288,159,44,19
WSSS_F_Imm10424046,525,208,397,176,244,58
WSSS_F_Imm10424047,314,16,26,17,10,2
WSSS_F_Imm10424048,149,23,26,10,12,0
WSSS_F_Imm10424049,223,62,50,11,62,15
WSSS_F_Imm10424050,435,202,219,60,369,63
WSSS_F_Imm10424051,1117,477,555,387,69,32
WSSS_F_Imm10424052,2074,838,1077,744,120,54
WSSS_F_Imm10424053,273,36,56,36,16,4
WSSS_F_Imm10424054,169,3,6,2,1,0
WSSS_F_Imm10424055,390,31,49,29,8,3
WSSS_F_Imm10424056,190,19,23,6,15,3
WSSS_F_Imm10424057,255,62,90,57,17,7
WSSS_F_Imm10424058,328,18,35,18,8,2
WSSS_F_Imm10424059,237,27,37,23,5,3
WSSS_F_Imm10424060,1035,279,414,234,149,55
WSSS_F_Imm10424061,2319,763,1087,701,213,98
WSSS_F_Imm11279975,3970,743,1584,354,380,71
WSSS_F_Imm11279976,9457,1968,5376,1636,1379,288
WSSS_F_Imm12128717,319,96,151,88,7,3
WSSS_F_Imm12128718,202,31,50,30,3,1
WSSS_F_Imm12128719,269,36,58,29,6,3
WSSS_F_Imm12128720,13,7,2,0,0,0
WSSS_F_Imm12128721,558,250,370,212,80,33
WSSS_F_Imm12128722,634,164,237,149,18,6
WSSS_F_Imm12128723,895,251,364,228,16,10
WSSS_F_Imm12128724,285,95,135,95,17,7
WSSS_F_Imm12128725,66,18,28,14,2,1
