lane_id,GEX_id,address
FCAImmP7292944,FCAImmP7292031,/seq/25060/cellranger/cellranger600_vdj_25060_FCAImmP7292944_GRCh38-5_0_0
FCAImmP7292941,FCAImmP7292028,/seq/25060/cellranger/cellranger600_vdj_25060_FCAImmP7292941_GRCh38-5_0_0
FCAImmP7292942,FCAImmP7292029,/seq/25060/cellranger/cellranger600_vdj_25060_FCAImmP7292942_GRCh38-5_0_0
FCAImmP7292943,FCAImmP7292030,/seq/25060/cellranger/cellranger600_vdj_25060_FCAImmP7292943_GRCh38-5_0_0
FCAImmP7292947,FCAImmP7292035,/seq/25060/cellranger/cellranger600_vdj_25060_FCAImmP7292947_GRCh38-5_0_0
FCAImmP7292940,FCAImmP7292032,/seq/25060/cellranger/cellranger600_vdj_25060_FCAImmP7292940_GRCh38-5_0_0
FCAImmP7292945,FCAImmP7292033,/seq/25060/cellranger/cellranger600_vdj_25060_FCAImmP7292945_GRCh38-5_0_0
FCAImmP7292946,FCAImmP7292034,/seq/25060/cellranger/cellranger600_vdj_25060_FCAImmP7292946_GRCh38-5_0_0
FCAImmP7607589,FCAImmP7316901,/seq/26694/cellranger/cellranger600_vdj_26694_FCAImmP7607589_GRCh38-5_0_0
FCAImmP7607590,FCAImmP7352196,/seq/26694/cellranger/cellranger600_vdj_26694_FCAImmP7607590_GRCh38-5_0_0
FCAImmP7607591,FCAImmP7528295,/seq/26694/cellranger/cellranger600_vdj_26694_FCAImmP7607591_GRCh38-5_0_0
FCAImmP7607593,FCAImmP7528296,/seq/26694/cellranger/cellranger600_vdj_26694_FCAImmP7607593_GRCh38-5_0_0
FCAImmP7607592,FCAImmP7528294,/seq/26694/cellranger/cellranger600_vdj_26694_FCAImmP7607592_GRCh38-5_0_0
FCAImmP7607594,FCAImmP7555855,/seq/26694/cellranger/cellranger600_vdj_26694_FCAImmP7607594_GRCh38-5_0_0
FCAImmP7607601,FCAImmP7555862,/seq/26694/cellranger/cellranger600_vdj_26694_FCAImmP7607601_GRCh38-5_0_0
FCAImmP7607598,FCAImmP7555859,/seq/26694/cellranger/cellranger600_vdj_26694_FCAImmP7607598_GRCh38-5_0_0
FCAImmP7607595,FCAImmP7555856,/seq/26694/cellranger/cellranger600_vdj_26694_FCAImmP7607595_GRCh38-5_0_0
FCAImmP7607596,FCAImmP7555857,/seq/26694/cellranger/cellranger600_vdj_26694_FCAImmP7607596_GRCh38-5_0_0
FCAImmP7607597,FCAImmP7555858,/seq/26694/cellranger/cellranger600_vdj_26694_FCAImmP7607597_GRCh38-5_0_0
FCAImmP7607599,FCAImmP7555860,/seq/26694/cellranger/cellranger600_vdj_26694_FCAImmP7607599_GRCh38-5_0_0
